"recipe_line_id";"menu_variant_id";"menu_item_id";"menu_variant_name";"portion_size";"ingredient_id";"ingredient_name";"ingredient_group_code";"quantity_per_portion";"unit";"preparation_loss_fraction";"preparation_loss_pct";"effective_quantity_per_portion";"recipe_component_status";"inventory_consumption_eligible";"source_row_number";"source_file"
"RL-0054";"MI-003-SMALL";"MI-003";"Miso Eggplant Bowl - Small";"Small";"SAUC-004";"Sweet miso sauce";"SAUC";"30";"g";"0.03";"3";"30.927835";"SOURCE_RECIPE";"true";"55";"Recipe and menu data_1_1(1).xlsx"
"RL-0055";"MI-003-SMALL";"MI-003";"Miso Eggplant Bowl - Small";"Small";"GARN-001";"Edamame";"GARN";"0.25";"cup";"0.03";"3";"0.257732";"SOURCE_RECIPE";"true";"56";"Recipe and menu data_1_1(1).xlsx"
"RL-0056";"MI-003-SMALL";"MI-003";"Miso Eggplant Bowl - Small";"Small";"GARN-002";"Pickled ginger";"GARN";"10";"g";"0.02";"2";"10.204082";"SOURCE_RECIPE";"true";"57";"Recipe and menu data_1_1(1).xlsx"
"RL-0057";"MI-003-SMALL";"MI-003";"Miso Eggplant Bowl - Small";"Small";"GARN-003";"Crispy shallots";"GARN";"1";"spoon";"0.02";"2";"1.020408";"SOURCE_RECIPE";"true";"58";"Recipe and menu data_1_1(1).xlsx"
"RL-0058";"MI-003-SMALL";"MI-003";"Miso Eggplant Bowl - Small";"Small";"GARN-004";"Nori strips";"GARN";"2";"g";"0";"0";"2";"SOURCE_RECIPE";"true";"59";"Recipe and menu data_1_1(1).xlsx"
"RL-0059";"MI-003-LARGE";"MI-003";"Miso Eggplant Bowl - Large";"Large";"BASE-001";"Cooked jasmine rice";"BASE";"250";"g";"0.02";"2";"255.102041";"SOURCE_RECIPE";"true";"60";"Recipe and menu data_1_1(1).xlsx"
"RL-0060";"MI-003-LARGE";"MI-003";"Miso Eggplant Bowl - Large";"Large";"LEAF-001";"Mixed leaf salad";"LEAF";"15";"g";"0.08";"8";"16.304348";"SOURCE_RECIPE";"true";"61";"Recipe and menu data_1_1(1).xlsx"
"RL-0061";"MI-003-LARGE";"MI-003";"Miso Eggplant Bowl - Large";"Large";"PROT-011";"Crispy eggplant";"PROT";"130";"g";"0.05";"5";"136.842105";"SOURCE_RECIPE";"true";"62";"Recipe and menu data_1_1(1).xlsx"
"RL-0062";"MI-003-LARGE";"MI-003";"Miso Eggplant Bowl - Large";"Large";"SAUC-004";"Sweet miso sauce";"SAUC";"40";"g";"0.03";"3";"41.237113";"SOURCE_RECIPE";"true";"63";"Recipe and menu data_1_1(1).xlsx"
"RL-0063";"MI-003-LARGE";"MI-003";"Miso Eggplant Bowl - Large";"Large";"GARN-001";"Edamame";"GARN";"0.25";"cup";"0.03";"3";"0.257732";"SOURCE_RECIPE";"true";"64";"Recipe and menu data_1_1(1).xlsx"
